,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.07019565,0.035469297,0.020247597,0.027594894,0.01568274,0.017404018,0.020937238,0.02957291,0.024539646,0.019681685,0.031940747,0.028004944,0.027761241,0.03885392,0.04206474,0.03646854,0.04134844,0.04861967,0.037546713,0.03149589,0.023982542,0.06988887,0.042511508,0.034064807,0.07749767,0.046043523,0.06467889,0.08288065,0.09590272,0.058217935,0.11314775,0.10447496,0.034739986,0.08508205,0.0395725,0.095168635,0.051252384,0.04956075,0.06692672,0.081247896,0.06775309,0.06959931,0.022967093,0.0526145,0.09463295,0.12738918,0.0351365,0.05850586,0.114967465,0.048882693,0.049611304,0.11863211,0.023424886,0.042195752,0.08456936,0.036802903,0.16466323,0.07658034,0.048320346,0.124580145,0.14491425,0.25431836,0.15069683,0.15964624,0.27429336,0.23415093,0.27283955,0.026141334,0.17411286,0.12947822,0.07747927,0.18031496,0.24844903,0.19399866,0.13460772,0.16172555,0.32692692,0.25305665,0.23159316,0.32992274,0.26344627,0.21647468,0.04386507,0.33436364,0.22727112,0.07548876,0.33391148,0.22308984,0.3800152,0.2109749,0.145712,0.22977775,0.40605664,0.20814331,0.4572016,0.27590793,0.28608304,0.29891425,0.12995628
1,0.027885769,0.02268917,0.01626255,0.01719084,0.0060985163,0.0151581345,0.016997602,0.017091807,0.018334653,0.020103233,0.017021216,0.023112236,0.018556481,0.020001434,0.030529073,0.02196429,0.01802198,0.027646353,0.01720584,0.0178906,0.020542474,0.027932316,0.021803308,0.02218187,0.033105314,0.046353113,0.03803994,0.014441818,0.060622524,0.042878293,0.047276653,0.04141265,0.009832385,0.024599101,0.02651088,0.046909668,0.017987398,0.032985285,0.038634863,0.04254115,0.041960407,0.019739002,0.016289884,0.026919743,0.04409436,0.07150528,0.03616894,0.05206629,0.039994273,0.0504025,0.04100843,0.09025544,0.023948781,0.029901505,0.06847062,0.032813534,0.07798484,0.04993821,0.017158149,0.043038473,0.06683782,0.08892483,0.09688523,0.09273164,0.08819279,0.10408811,0.03368532,0.051173657,0.04222029,0.090440564,0.05035072,0.05536054,0.07591385,0.047484152,0.07246456,0.04445054,0.035966832,0.06353188,0.05439159,0.05004299,0.038276285,0.06501812,0.047172677,0.09760295,0.06290148,0.06699317,0.05030049,0.07765185,0.052842908,0.03531509,0.035155073,0.101598755,0.09059628,0.051977325,0.057966564,0.05659631,0.10009867,0.051181756,0.0528753
2,0.019500434,0.01696919,0.004054499,0.0033842241,0.0033191838,0.008791084,0.0036382442,0.024285795,0.008779077,0.01010376,0.01352666,0.018521056,0.018623058,0.016588137,0.023805298,0.016366042,0.018393056,0.01357496,0.015139593,0.02381095,0.02034665,0.029204672,0.015156311,0.013917919,0.022380916,0.04000012,0.026621236,0.030084746,0.01980318,0.04455911,0.02374867,0.023414295,0.0053815027,0.020201866,0.026174655,0.022578128,0.03489646,0.020915737,0.020107877,0.020444268,0.014238111,0.038940236,0.019377634,0.026542049,0.043308277,0.029233579,0.073195666,0.03665614,0.038868017,0.02546013,0.041025136,0.0338728,0.031643845,0.019565027,0.027687246,0.03578604,0.028964287,0.04275746,0.032296002,0.039929707,0.036868002,0.033076555,0.043810293,0.04374889,0.0685443,0.037892073,0.046876643,0.052363005,0.05175416,0.032185193,0.029400213,0.023623899,0.06652711,0.042738773,0.054152843,0.028716533,0.08831301,0.033741202,0.07076529,0.10333886,0.07979815,0.049274486,0.03693539,0.06807702,0.049931556,0.02155867,0.086158365,0.03848886,0.07359768,0.037409693,0.022201067,0.088666014,0.03976911,0.0571118,0.16368435,0.03376243,0.05901625,0.06368917,0.03849109
3,0.010262878,0.0054388824,0.0044733407,0.0010019771,0.0017407,0.00083620544,0.0018989465,0.016795268,0.004431754,0.0040009646,0.0061312355,0.009038361,0.014897679,0.0074350634,0.015709536,0.0067208214,0.014844724,0.015035595,0.00554733,0.014028674,0.009995591,0.016461585,0.013569089,0.025691126,0.013289032,0.008163181,0.025513565,0.017844088,0.017645257,0.043464907,0.020176996,0.014666598,0.0013863378,0.023831317,0.020589747,0.02679343,0.044607855,0.024636358,0.026677197,0.025224596,0.02230024,0.015857495,0.016536389,0.020284984,0.021767672,0.030778205,0.046215832,0.015821047,0.008429384,0.027308905,0.013446008,0.02282609,0.024340566,0.016294876,0.023221925,0.021338042,0.026185196,0.012893936,0.04854261,0.024602015,0.033355553,0.0377397,0.035430573,0.035169374,0.0368613,0.04568976,0.03937008,0.020843286,0.03453089,0.027073208,0.029866617,0.042341948,0.03590121,0.040718794,0.030452386,0.038275756,0.026545959,0.055054314,0.03934617,0.030768625,0.020218771,0.019809764,0.016619958,0.037210505,0.046889268,0.031144518,0.041881807,0.03524154,0.043028593,0.03883685,0.03341087,0.027662035,0.040709503,0.03739949,0.03296028,0.051488146,0.05600139,0.067818716,0.0056028753
4,0.006537125,0.0035567833,0.0038180896,0.0003911799,0.00057517306,0.0005097387,0.00093429483,0.0052596014,0.0033441926,0.0016214559,0.005584607,0.00079981564,0.015205328,0.0068208603,0.008343987,0.0036335988,0.019322237,0.00573478,0.003461404,0.017851472,0.005792798,0.01981419,0.006561293,0.0098450035,0.00841202,0.024289574,0.01402252,0.014865104,0.01262483,0.02251376,0.0073882258,0.02095023,0.001760501,0.012901391,0.027763752,0.0074237036,0.013655275,0.02531474,0.014647495,0.026713585,0.016203323,0.012990929,0.019546343,0.019377979,0.028700838,0.013415707,0.011991311,0.017040282,0.020156372,0.020443311,0.026762478,0.02580109,0.021454982,0.02641875,0.026366962,0.025937736,0.029191058,0.009830996,0.04358949,0.01295341,0.026977474,0.025299806,0.022605496,0.028259985,0.03570954,0.027790599,0.01477846,0.017783668,0.017222881,0.023464914,0.034541525,0.014574139,0.048323236,0.007817843,0.032290947,0.027634114,0.0318771,0.029231973,0.046201356,0.042675413,0.048086397,0.028561449,0.026900042,0.025517806,0.030077023,0.025574405,0.044612218,0.02323225,0.034531415,0.035833728,0.01844696,0.029822424,0.031243503,0.04158383,0.015617729,0.030192066,0.021666737,0.07003076,0.017396893
5,0.0048580365,0.0013485703,0.0017648548,0.00037248444,0.00036075592,0.00030669235,0.0004221365,0.0026062867,0.0008578439,0.0007387513,0.0016573886,0.0017847543,0.005524941,0.002630715,0.0093584675,0.0031137846,0.013052703,0.0031771741,0.0016072732,0.02060296,0.0032966486,0.020184724,0.0053706914,0.004989976,0.01082155,0.015454112,0.019722912,0.011832125,0.019395208,0.0015781673,0.00918448,0.022592155,0.013866356,0.019445037,0.014385252,0.01798844,0.009873214,0.015876833,0.019254738,0.013527775,0.014832426,0.015306306,0.01246353,0.0229621,0.019137269,0.021819025,0.012547592,0.015914597,0.025682528,0.022312835,0.021594694,0.019326951,0.024611045,0.018918553,0.017100727,0.02591674,0.02454446,0.042391732,0.034545932,0.017976945,0.023445914,0.026532391,0.030940779,0.02218287,0.021313326,0.02526655,0.035696395,0.016065193,0.024253568,0.018170033,0.008243557,0.013318185,0.017465921,0.014812471,0.028672934,0.022852747,0.022792311,0.027063336,0.03100597,0.026299581,0.027983308,0.018654466,0.019388456,0.023579568,0.028680257,0.023785124,0.030460257,0.0143804345,0.032553554,0.021620305,0.011494058,0.018323138,0.031863358,0.016630916,0.023380585,0.04505771,0.03601832,0.02033508,0.028181648
6,0.004728397,0.00032815023,0.0005206656,0.0003032523,0.00027822555,0.00026327366,0.00045411682,0.0015489378,0.00086835294,0.00026567816,0.0012946436,0.0006086413,0.002101467,0.0012524577,0.007502283,0.0030277502,0.0029492097,0.004850542,0.0012110469,0.016405871,0.0019458702,0.019505871,0.004313284,0.0033205044,0.0055865836,0.008746009,0.012073721,0.007956711,0.02399799,0.002811838,0.0050765947,0.02056192,0.0009599258,0.024895102,0.0047373837,0.006241859,0.004921708,0.009754502,0.014312844,0.015546394,0.014627483,0.007286013,0.019444099,0.018288076,0.017034454,0.020382155,0.028085941,0.01755203,0.006852546,0.01467689,0.014834587,0.027643237,0.018067265,0.023821615,0.009627049,0.013161967,0.014585535,0.039847203,0.0055495906,0.019585624,0.012912174,0.018195653,0.037830763,0.014712956,0.021784848,0.020721257,0.035085216,0.0335023,0.023084734,0.015673216,0.023647789,0.021462437,0.046547294,0.030016027,0.017956477,0.020252451,0.023298508,0.020571904,0.028952656,0.028288081,0.016585048,0.017169053,0.020633008,0.019371457,0.038711857,0.018097045,0.031092117,0.037181087,0.020204531,0.013400404,0.011075894,0.01886335,0.023375142,0.06833524,0.033480927,0.03843327,0.010495354,0.0025944514,0.0036198678
7,0.0036148503,0.00028469475,0.00031095266,0.0004027282,0.00023594618,0.00035845788,0.00021942875,0.00042055442,0.000407336,0.00034113167,0.0005224118,0.00056514435,0.0018323982,0.0003870405,0.0045830165,0.0018905529,0.0021514753,0.0027906385,0.0015644443,0.00886531,0.00069878896,0.026841316,0.0021363671,0.0034059128,0.00419699,0.0014225766,0.013145898,0.0061235116,0.017203351,0.03118539,0.005066936,0.013534319,0.00407215,0.014678849,0.0038963049,0.0038941675,0.005123086,0.02364127,0.012651002,0.013709125,0.004965984,0.0015815886,0.009727189,0.017208362,0.01959416,0.019818492,0.025543183,0.019675601,0.021636862,0.009091769,0.0169503,0.022949334,0.013714531,0.018860877,0.011277377,0.02156423,0.01765117,0.015878955,0.004835498,0.017026698,0.01444889,0.022251183,0.019749058,0.015546957,0.019479804,0.01903442,0.022694847,0.02167034,0.015938682,0.02392035,0.032763857,0.005021934,0.03026025,0.003770891,0.026618926,0.02646789,0.01957912,0.018300107,0.03354977,0.02356235,0.027526028,0.024699535,0.017884824,0.0160804,0.023985282,0.036705267,0.027097661,0.022302208,0.032491393,0.034349974,0.017941471,0.013925675,0.022160275,0.019769643,0.029791143,0.023315666,0.009404137,0.013639993,0.021539578
8,0.0029671022,0.0002081195,0.00025414123,0.0002974516,0.00019673041,0.00024863868,0.000267001,0.00030155721,0.0003197203,0.00031923896,0.00038099696,0.0003180126,0.0003221163,0.0002997383,0.0053970153,0.0015555361,0.0007518405,0.0010844485,0.0007561488,0.0028581875,0.0004934122,0.02674724,0.002141507,0.003934534,0.0036845896,0.0039365776,0.00901841,0.004781415,0.01584959,0.002928738,0.0034895795,0.002807496,0.0037358352,0.016402552,0.007647517,0.0030619376,0.0064560203,0.02467318,0.01332108,0.009951672,0.0055729803,0.005201205,0.009834769,0.018963238,0.009310469,0.022708384,0.013528959,0.029770695,0.011376286,0.009747294,0.0148279285,0.017826268,0.01596976,0.027876884,0.009733199,0.0101843085,0.021743333,0.0194451,0.010899739,0.011794705,0.009001461,0.021119697,0.026246116,0.018842438,0.019368256,0.01474683,0.02050185,0.018675618,0.008026764,0.029244175,0.018236425,0.0068752253,0.016346233,0.020357259,0.017210348,0.02430034,0.025480827,0.023415945,0.016399411,0.018013014,0.009802725,0.027503986,0.014851724,0.025344884,0.013905408,0.015252316,0.01815302,0.011789196,0.035026737,0.014070036,0.031633753,0.0363017,0.051390316,0.00710347,0.0048353607,0.01594248,0.056782525,0.004994764,0.010443961
9,0.0021905948,0.00020132918,0.00023473795,0.00021108102,0.00024731076,0.0001722954,0.00022326515,0.00024256745,0.00029970723,0.0005140828,0.00025772298,0.0005526141,0.0003563864,0.00013040449,0.0033131312,0.0016159768,0.0005631247,0.0015399966,0.0008655949,0.0071133976,0.00034378946,0.014814049,0.0029075448,0.0055161193,0.0032782604,0.0031362062,0.0022718562,0.0057450146,0.0046046935,0.010774223,0.0011394684,0.0074690767,0.001086685,0.021456908,0.0037712064,0.0019808023,0.0056527173,0.02681534,0.0066322787,0.0070374655,0.0017648665,0.0023773215,0.0077916156,0.017557021,0.007830054,0.013495892,0.020844344,0.012270695,0.0054163737,0.0074834875,0.009496178,0.01078391,0.01342818,0.0076033673,0.008371318,0.01795366,0.013702875,0.025293581,0.00497374,0.013815026,0.014494823,0.015511006,0.0341388,0.007878487,0.0143375695,0.013355794,0.012985832,0.011645272,0.009287331,0.022440072,0.009716173,0.035415675,0.01880543,0.0173517,0.014683956,0.017309604,0.016075952,0.01494401,0.015743993,0.017425695,0.02735605,0.020933138,0.0069347685,0.016445749,0.02100056,0.019243386,0.021488165,0.016359478,0.029906815,0.02155114,0.0208107,0.034773592,0.016897675,0.03296713,0.031067945,0.0171141,0.023793342,0.016446581,0.004781705
