,0
0,3.317797029650982e-05
1,7.525335384965988e-05
2,3.299241251935753e-05
3,1.6809605922226315e-05
4,2.2858958588633703e-05
5,6.245080461778494e-06
6,2.6080939566216764e-05
7,1.8581878744179175e-05
8,2.530420191597937e-05
9,0.004166410144569563
10,4.4582632900199304e-05
11,3.0394772093612187e-05
12,2.9771871829976813e-05
13,1.7421309953062373e-05
14,1.4854887190697737e-05
15,1.904075187066777e-05
16,3.247084534953293e-05
17,1.7122872733207764e-05
18,2.6927664346106462e-05
19,1.9040797211701226e-05
