,0
0,0.003761272708892498
1,2.2897623152582898e-05
2,0.00019105306379748536
3,2.4127472023488257e-05
4,1.7583174895534342e-05
5,2.5949403019122393e-05
6,1.5784463254837828e-05
7,7.197131169927466e-06
8,3.490061237652787e-05
9,2.195547189029478e-05
10,8.819780729520263e-06
11,4.9879182360618876e-05
12,8.917685705339705e-06
13,3.4072829689539635e-05
14,8.471414802236771e-06
15,1.2810656265799273e-05
16,9.580065014475576e-05
17,1.7559402737839286e-05
18,4.6283428907253976e-05
19,3.3492478159131414e-05
