,25,50,100,500,1000,3000
0,1.5053744879203555e-05,4.658142196363898e-05,0.00014225447958897741,0.0037612727088924976,3.3177970296509824e-05,2.328800699243945e-05
1,0.00030081761563345425,0.0007618262657559401,2.743694924832052e-05,2.2897623152582894e-05,7.525335384965988e-05,7.481766163850833e-06
2,6.558231586431693e-05,2.4355384971094475e-05,2.085272863691245e-05,0.00019105306379748536,3.299241251935753e-05,3.4048741304630226e-05
3,5.5568983927661474e-05,3.033639797065348e-05,9.705349731561303e-06,2.4127472023488253e-05,1.6809605922226315e-05,0.0006694679449920585
4,2.6505674559874468e-05,0.00017100133003059766,5.201756456527176e-05,1.7583174895534342e-05,2.2858958588633703e-05,2.088395713397995e-05
5,0.004874163226474365,3.414913144760706e-05,0.005770927365113659,2.5949403019122393e-05,6.2450804617784935e-06,3.247444743499461e-05
6,0.0004164751619802541,2.1634956249369615e-05,0.00011201385977908667,1.5784463254837828e-05,2.6080939566216768e-05,2.920671415992016e-05
7,0.000662721654129574,0.00045361359560986916,1.3680706951355013e-05,7.1971311699274655e-06,1.8581878744179172e-05,0.00013946883196260695
8,9.884116749653624e-05,0.0039569038726882345,1.609325365758758e-05,3.490061237652787e-05,2.530420191597937e-05,2.7460718434135945e-05
9,4.773370832426511e-05,1.8570974207725185e-05,2.2034609401849156e-05,2.1955471890294783e-05,0.0041664101445695635,0.00020008044417440602
10,0.00010679014162964266,0.003666082534248862,0.003451426821945818,8.819780729520262e-06,4.458263290019929e-05,1.5967487111184564e-05
11,0.001520256416292932,4.3675253260552305e-05,1.635175037824769e-05,4.9879182360618876e-05,3.039477209361219e-05,2.6899858806330546e-05
12,0.005940555720197072,2.8089010789912958e-05,2.2745774195814706e-05,8.917685705339705e-06,2.9771871829976813e-05,1.2066549215803435e-05
13,0.001240022904556916,0.0005599607008256634,1.6015736765793226e-05,3.4072829689539635e-05,1.7421309953062373e-05,1.4407563880277404e-05
14,7.963172358355134e-05,0.00030949404719567185,0.00019369264994417587,8.471414802236771e-06,1.4854887190697735e-05,1.868275413204622e-05
15,3.202447665066914e-05,8.701000503088041e-05,6.764584608257906e-05,1.2810656265799271e-05,1.904075187066777e-05,0.0015570599895957035
16,0.005498258950379256,0.00017182483996645156,2.1419335915588466e-05,9.580065014475576e-05,3.247084534953293e-05,1.2866115711354694e-05
17,2.596084512793687e-05,4.041887692725831e-05,6.614383494591619e-05,1.7559402737839286e-05,1.7122872733207764e-05,1.784621232506941e-05
18,0.0015582535268733886,5.138279766614663e-05,2.7902099713091985e-05,4.628342890725398e-05,2.6927664346106462e-05,0.00023161009076425878
19,4.7696235493776e-05,0.001090349682919286,2.4288750262306822e-05,3.349247815913141e-05,1.9040797211701222e-05,0.00042016107406488563
