,0
0,5.529352704216612e-05
1,4.820255576779647e-05
2,3.734862105938945e-05
3,6.134885294342471e-05
4,3.46892687237393e-05
5,3.545493450353224e-05
6,4.551694997521783e-05
7,3.036720615237206e-05
8,4.648935083365713e-05
9,4.134649797103274e-05
10,4.2237007962827604e-05
11,5.637387674930817e-05
12,4.355525553102828e-05
13,5.254902680942057e-05
14,4.512321272887456e-05
15,3.991005265931947e-05
16,3.1952234886590635e-05
17,3.4561536393571165e-05
18,3.817553766242906e-05
19,4.172367638050138e-05
