,0
0,4.658142196363898e-05
1,0.0007618262657559401
2,2.4355384971094475e-05
3,3.033639797065348e-05
4,0.00017100133003059766
5,3.414913144760706e-05
6,2.1634956249369615e-05
7,0.0004536135956098692
8,0.0039569038726882345
9,1.8570974207725182e-05
10,0.0036660825342488615
11,4.3675253260552305e-05
12,2.8089010789912958e-05
13,0.0005599607008256635
14,0.00030949404719567185
15,8.701000503088041e-05
16,0.00017182483996645156
17,4.0418876927258305e-05
18,5.138279766614663e-05
19,0.001090349682919286
