,0
0,2.328800699243945e-05
1,7.481766163850833e-06
2,3.4048741304630226e-05
3,0.0006694679449920585
4,2.088395713397995e-05
5,3.247444743499461e-05
6,2.9206714159920157e-05
7,0.00013946883196260695
8,2.7460718434135945e-05
9,0.00020008044417440605
10,1.5967487111184564e-05
11,2.6899858806330546e-05
12,1.2066549215803434e-05
13,1.4407563880277404e-05
14,1.868275413204622e-05
15,0.0015570599895957035
16,1.2866115711354694e-05
17,1.784621232506941e-05
18,0.0002316100907642588
19,0.0004201610740648856
