,0
0,1.0977852189872771e-05
1,1.6580811668021613e-05
2,1.3398159523703125e-05
3,1.0282721527015604e-05
4,9.39971843251914e-06
5,1.2624521753492773e-05
6,1.1426152270439144e-05
7,1.7883519543153306e-05
8,1.2177100256286583e-05
9,1.3318109414866531e-05
10,1.0708826730522326e-05
11,9.713216921404177e-06
12,1.5898491916662036e-05
13,2.6580102059231637e-05
14,1.2977452557557917e-05
15,2.317753951581882e-05
16,1.3491479668283732e-05
17,1.1945895229073716e-05
18,9.69972737118449e-06
19,1.1393386137579086e-05
