Qa,Qb,Ta,Tb,Ca0,Cb0,Ca,Cb,Cc,T,V,Qout
5,9,400,419.949899732081,15,15,5,5,0,500,70,7.55255795106104
5.03999933333667,8.99980000166667,400.999583385414,419.995675283787,15,15,4.53973757458725,5.28290526254328,0.524766820033659,501.615263043996,76.2967084093421,7.88493190960692
5.07999466677333,8.99920002666633,401.996668332937,419.99147206083,15,15,4.17266205531418,5.47830384956458,0.945914846619018,501.697076942279,82.3146897807896,8.18999655742086
5.11998200080998,8.99820013499598,402.988762649472,419.937300569078,15,15,3.87901218967751,5.61849973973064,1.28627968368819,501.121107019111,88.0786870010355,8.47189300548374
5.15995733674654,8.99680042664395,403.973386615901,419.833296209049,15,15,3.64245490139959,5.72142557619921,1.56421423778326,500.258685906716,93.6097811593807,8.73384864155099
5.19991667708271,8.99500104157991,404.94807918509,419.679718937479,15,15,3.45028902520036,5.79777106466387,1.79379555582895,499.267637249296,98.9261672828937,8.97843489946585
5.23985602591778,8.99280215974088,405.910404133227,419.476952617564,15,15,3.29285308752366,5.8543352806488,1.98565086378956,498.214353282213,104.043719126182,9.20773857397
5.27977138935013,8.99020400101319,406.857956149109,419.225504059506,15,15,3.16283597933985,5.89569252076873,2.14778646221954,497.126024614443,108.976411420341,9.42347966182196
5.31965877587669,8.98720682521056,407.788366846173,418.926001753748,15,15,3.05468995646438,5.92506823385352,2.28626139147449,496.013309911293,113.736642689886,9.62709480275503
5.35951419679204,8.98381093204807,408.699310682225,418.579194300077,15,15,2.96417731238946,5.94482556209187,2.40569641717067,494.880211024225,118.335486814154,9.81979784255518
5.39933366658731,8.9800166611122,409.588510772084,418.185948536514,15,15,2.88803335866281,5.95674998046251,2.50964784871233,493.728317480667,122.782892329794,10.0026247413368
5.4391132033487,8.9758243918269,410.453744578613,417.747247372668,15,15,2.82371941135702,5.96222404437987,2.60087950723041,492.558556406561,127.087842628743,10.1764675015251
5.47884882915568,8.97123454341559,411.292849467901,417.264187332977,15,15,2.76924230090325,5.96233951012864,2.6815605197131,491.371845934007,131.258486374979,10.3421002256897
5.51853657047878,8.96624757485929,412.103728114721,416.73797581597,15,15,2.7230221472349,5.95797218522536,2.75340978252415,490.169281294692,135.302244884553,10.5001994244971
5.55817245857695,8.96086398485069,412.884353744754,416.169928076392,15,15,2.68379495114306,5.94983368335034,2.81780218038652,488.95213608091,139.225901437189,10.6513600517111
5.5977525298944,8.95508431174432,413.632775200467,415.561463937758,15,15,2.65054031807624,5.9385083213886,2.87584730638298,487.721802953587,143.035676238943,10.7961083149915
5.63727282645698,8.94890913350267,414.34712181799,414.914104243534,15,15,2.62242740034125,5.92448012476422,2.92844830071811,486.479725746886,146.737289861317,10.9349120201657
5.67672939626798,8.94233906763841,415.025608102806,414.229467055817,15,15,2.59877412666622,5.90815304034679,2.97634621481718,485.2273422329,150.336017331399,11.0681890049443
5.7161182937033,8.93537477115267,415.66653819255,413.509263611023,15,15,2.57901619223641,5.88986635472909,3.02015375471929,483.966042525179,153.836734566748,11.1963140758608
5.755435579906,8.92801694046928,416.268310095787,412.75529404269,15,15,2.56268327372456,5.8699066449097,3.06038116783871,482.697142311876,157.243958488644,11.3196247603796
5.79467732318025,8.92026631136517,416.829419696158,411.969442882079,15,15,2.54938063494746,5.84851716748894,3.09745626959994,481.421868163451,160.56188187431,11.4384261121388
5.8338395993844,8.91212365889681,417.34846451188,411.153674347828,15,15,2.53877478664664,5.82590532074021,3.13174006301234,480.141351869607,163.794403799319,11.5529947528384
5.87291849232348,8.90358979732265,417.824147201229,410.310027436429,15,15,2.53058221941336,5.80224863374752,3.16353901701265,478.856631110786,166.945156359143,11.6635822937129
5.91191009414075,8.89466558002174,418.25527880521,409.440610825798,15,15,2.52456048429212,5.77769961434888,3.19311479151988,477.568654304495,170.017528231866,11.7704182489613
5.95081050570854,8.88535189940836,418.640781719345,408.547597604677,15,15,2.52050108050154,5.75238970248421,3.22069199626296,476.278287993444,173.014685543852,11.8737125302403
5.98961583701809,8.87564968684283,418.979692387112,407.633219841047,15,15,2.51822374447484,5.72643251510606,3.2464644241317,474.986325591258,175.939590420397,11.9736575934409
6.02832220756862,8.86555991253831,419.271163708344,406.699763003118,15,15,2.51757183334748,5.69992652509271,3.27060009244088,473.693496657073,178.795017539354,12.0704302951031
6.06692574675533,8.85508358546383,419.514467156533,405.749560246851,15,15,2.5184085691597,5.67295728444569,3.29324534613248,472.400476139949,181.583568954074,12.1641935049777
6.10542259425646,8.84422175324337,419.708994599769,404.78498658428,15,15,2.52061396450225,5.64559927804331,3.31452821784353,471.107893232184,184.307687409857,12.2550975126968
6.14380890041934,8.83297550205108,419.854259820752,403.808452947221,15,15,2.52408229116709,5.6179174760559,3.33456119544806,469.816339612738,186.969668343745,12.3432812597305
6.18208082664536,8.82134595650273,419.949899732081,402.822400161197,15,15,2.52871998419209,5.58996863922196,3.35344351421332,468.526376961509,189.571670729053,12.4288734223821
6.22023454577378,8.80933427954317,419.995675283787,401.829292844649,15,15,2.53444389711557,5.56180242042773,3.37126306526556,467.238543693421,192.115726902603,12.5119933672089
6.25826624246447,8.79694167233009,419.99147206083,400.831613248666,15,15,2.54117984217626,5.53346229763522,3.38809799258861,465.953360906613,194.603751493019,12.5927519967251
6.29617211357948,8.78416937411388,419.937300569078,399.831855052657,15,15,2.54886136298773,5.50498636659427,3.40401803578171,464.671337568183,197.037549552091,12.6712525003632
6.33394836856326,8.77101866211373,419.833296209049,398.832517131448,15,15,2.55742869789881,5.47640801653381,3.41908566418191,463.392974978593,199.418823977476,12.7475910233161
6.37159122982181,8.75749085138987,419.679718937479,397.836097309398,15,15,2.56682790057414,5.44775650784396,3.43335703889707,462.118770565677,201.74918230333,12.8218572639463
6.40909693310036,8.7435872947121,419.476952617564,396.845086117135,15,15,2.57701009085053,5.41905746740298,3.44688283219243,460.849221063672,204.030142925672,12.8941350088402
6.44646172785985,8.72930938242451,419.225504059506,395.861960566532,15,15,2.58793081406302,5.39033331449064,3.45970892807298,459.584825133595,206.26314082082,12.9645026132583
6.48368187765194,8.71465854230642,418.926001753748,394.889177959463,15,15,2.59954949110548,5.36160362803015,3.47187702346464,458.326085480019,208.449532808119,13.0330334336192
6.52075366049265,8.69963623942964,418.579194300077,393.929169745831,15,15,2.61182894473242,5.33288546410688,3.4834251458591,457.073510516573,210.590602401994,13.0997962177205
6.55767336923461,8.68424397601194,418.185948536514,392.984335446208,15,15,2.62473499020291,5.30419363124391,3.4943881004544,455.827615629082,212.68756429305,13.1648554576205
6.5944373119377,8.66848329126682,417.747247372668,392.057036654281,15,15,2.63823608045449,5.27554092970736,3.50479785754276,454.588924081448,214.741568493397,13.228271709438
6.63104181223829,8.65235576124964,417.264187332977,391.149591134103,15,15,2.65230299768075,5.24693836011859,3.51468388905443,453.357967605514,216.753704177364,13.2901018837677
6.66748320971685,8.63586299869996,416.73797581597,390.264267026886,15,15,2.66690858455491,5.21839530582526,3.5240734616685,452.135286712355,218.725003245346,13.3503995099305
6.70375786026401,8.61900665288028,416.169928076392,389.40327718183,15,15,2.68202750945741,5.18991969279808,3.53299189268101,450.921430758867,220.656443635502,13.4092149768695
6.73986213644493,8.60178840941114,415.561463937758,388.568773625153,15,15,2.69763606097843,5.16151813024824,3.54146277382022,449.716957800161,222.548952405406,13.4665957531533
6.77579242786209,8.58420999010254,414.914104243534,387.762842181146,15,15,2.71371196771727,5.13319603468276,3.54950816737656,448.52243425523,224.403408603412,13.5225865882466
6.81154514151628,8.56627315278176,414.229467055817,386.987497258697,15,15,2.73023424001945,5.10495773971365,3.55714877833585,447.338434410559,226.220645947522,13.5772296969517
6.84711670216594,8.54797969111759,413.509263611023,386.244676816321,15,15,2.74718303080529,5.07680659359942,3.56440410564185,446.165539783837,228.001455327684,13.6305649286976
6.88250355268464,8.52933143444095,412.75529404269,385.53623751827,15,15,2.76453951306988,5.04874504621262,3.57129257524672,445.004338367684,229.746587145955,13.6826299231614
6.91770215441682,8.51033024756196,411.969442882079,384.863950093841,15,15,2.78228577198967,5.02077472688582,3.57783165721745,443.855423771284,231.456753507479,13.7334602535382
