dCa_dt,Ca,dCb_dt,Cb,dCc_dt,Cc,dTdt,T,Rrxn,dVdt,V,Qout
-0.409885884028884,4.53973757458725,0.231859819482932,5.28290526254328,0.468805392642698,0.524766820033659,0.636875855512204,501.615263043996,43.1359291941274,6.15486742539642,76.2967084093421,7.88493190960692
-0.327058520516778,4.17266205531418,0.163810065453177,5.47830384956458,0.377286241193971,0.945914846619018,-0.33641831902658,501.697076942279,44.3739191914061,5.8891981360188,82.3146897807896,8.18999655742086
-0.262444737409729,3.87901218967751,0.119201164711607,5.61849973973064,0.306441743851579,1.28627968368819,-0.757150100624484,501.121107019111,45.1509172926516,5.64628913032222,88.0786870010355,8.47189300548374
-0.212278117467306,3.64245490139959,0.0881302561005295,5.72142557619921,0.251695005830534,1.56421423778326,-0.942859814858243,500.258685906716,45.7053164690494,5.4229091218395,93.6097811593807,8.73384864155099
-0.173173899698943,3.45028902520036,0.0654277940646119,5.79777106466387,0.209154278971534,1.79379555582895,-1.02901310138257,499.267637249296,46.1536115085656,5.21648281919678,98.9261672828937,8.97843489946585
-0.142446393887952,3.29285308752366,0.0482185657131805,5.8543352806488,0.175804466313907,1.98565086378956,-1.07379539749059,498.214353282213,46.5524405346673,5.02491961168866,104.043719126182,9.20773857397
-0.118061190612424,3.16283597933985,0.0348039419996859,5.89569252076873,0.149390165820825,2.14778646221954,-1.10201152863272,497.126024614443,46.9288641322715,4.84649572854136,108.976411420341,9.42347966182196
-0.0985031209092411,3.05468995646438,0.0241231864203094,5.92506823385352,0.128243831037869,2.28626139147449,-1.12391543286486,496.013309911293,47.2952572447165,4.67977079833222,113.736642689886,9.62709480275503
-0.0826478979186569,2.96417731238946,0.0154802663477989,5.94482556209187,0.111133589225073,2.40569641717067,-1.14344852602793,494.880211024225,47.656733255118,4.52352728628493,118.335486814154,9.81979784255518
-0.069658937683758,2.88803335866281,0.00839830119312201,5.95674998046251,0.0971453072966968,2.50964784871233,-1.1618862159041,493.728317480667,48.0148874219471,4.37672558636275,122.782892329794,10.0026247413368
-0.0589099182609697,2.82371941135702,0.00253828353746793,5.96222404437987,0.0855957372172559,2.60087950723041,-1.17945096041319,492.558556406561,48.3696933704554,4.23847009365048,127.087842628743,10.1764675015251
-0.0499282613890124,2.76924230090325,-0.00234836772769371,5.96233951012864,0.0759698326914361,2.6815605197131,-1.19601240673504,491.371845934007,48.7204583276881,4.10798314688157,131.258486374979,10.3421002256897
-0.0423543098593005,2.7230221472349,-0.00644868206570586,5.95797218522536,0.0678757945244735,2.75340978252415,-1.21137627310867,490.169281294692,49.0662937360085,3.98458472084092,135.302244884553,10.5001994244971
-0.0359118916650482,2.68379495114306,-0.00990640361887506,5.94983368335034,0.0610128074633628,2.81780218038652,-1.22539002461505,488.95213608091,49.4063356657021,3.86767639171656,139.225901437189,10.6513600517111
-0.0303870333978767,2.65054031807624,-0.0128339662118877,5.9385083213886,0.0551477827377342,2.87584730638298,-1.23796971075928,487.721802953587,49.7398370282278,3.75672852664721,143.035676238943,10.7961083149915
-0.0256124836321901,2.62242740034125,-0.015320602629763,5.92448012476422,0.0500984843446209,2.92844830071811,-1.24909549906836,486.479725746886,50.0661955934982,3.65126993979395,146.737289861317,10.9349120201657
-0.0214563842224122,2.59877412666622,-0.0174379981485,5.90815304034679,0.045721194758902,2.97634621481718,-1.25879708182378,485.2273422329,50.3849514143875,3.55087945896208,150.336017331399,11.0681890049443
-0.0178139155343298,2.57901619223641,-0.0192443348253913,5.88986635472909,0.0419016262440904,3.02015375471929,-1.26713790955519,483.966042525179,50.6957711464956,3.45517898899516,153.836734566748,11.1963140758608
-0.0146010864672806,2.56268327372456,-0.0207872506033969,5.8699066449097,0.0385481683652298,3.06038116783871,-1.27420160874214,482.697142311876,50.9984281584458,3.36382775999569,157.243958488644,11.3196247603796
-0.0117500818149853,2.54938063494746,-0.0221060472336347,5.84851716748894,0.0355868296105407,3.09745626959994,-1.2800814637462,481.421868163451,51.2927827498413,3.27651752240661,160.56188187431,11.4384261121388
-0.00920574865224758,2.53877478664664,-0.0232333658048273,5.82590532074021,0.032957417036005,3.13174006301234,-1.28487282400815,480.141351869607,51.5787643778452,3.1929685054428,163.794403799319,11.5529947528384
-0.00692292205038464,2.53058221941336,-0.0241964769127632,5.80224863374752,0.0306106277544419,3.16353901701265,-1.28866794637801,478.856631110786,51.8563565462232,3.11292599593327,166.945156359143,11.6635822937129
-0.00486437395957693,2.52456048429212,-0.0250182866483728,5.77769961434888,0.0285058172996509,3.19311479151988,-1.29155272320703,477.568654304495,52.1255843944425,3.03615742520122,170.017528231866,11.7704182489613
-0.00299922824850642,2.52050108050154,-0.0257181295552444,5.75238970248421,0.0266092743366568,3.22069199626296,-1.29360480303423,476.278287993444,52.3865047453242,2.96244987487662,173.014685543852,11.8737125302403
-0.00130172703764236,2.51822374447484,-0.026312399584549,5.72643251510606,0.0248928770270107,3.2464644241317,-1.29489270186454,474.986325591258,52.6391982670035,2.89160793042005,175.939590420397,11.9736575934409
0.000249736309846681,2.51757183334748,-0.02681505629609,5.69992652509271,0.0233330391944935,3.27060009244088,-1.29547559467035,473.693496657073,52.8837633908513,2.82345182500384,178.795017539354,12.0704302951031
0.00167338034834418,2.5184085691597,-0.0272380339280087,5.67295728444569,0.0219098781280602,3.29324534613248,-1.29540355592884,472.400476139949,53.1203116541182,2.75781582724147,181.583568954074,12.1641935049777
