,Ca_pred,Cb_pred,Cc_pred,Qout_pred,index,Ca,Cb,Cc,Qout
0,0.13169064,0.4144364,0.78473973,0.9666907,3100,0.1314836084825237,0.45505809135692166,0.796581382934141,0.9734263112691582
1,0.14540859,0.47340518,0.8140966,0.9706109,3101,0.12200891684862239,0.4637733082948899,0.8000367355677966,0.9706084138175305
2,0.123665944,0.44095474,0.7993445,0.96908087,3102,0.13001959552372577,0.46842012668597033,0.8009814976178916,0.9705063867077569
3,0.12399925,0.45404625,0.7892802,0.9658417,3103,0.12378092880061892,0.4763417970272266,0.8033820739475883,0.9691207234352857
4,0.11509065,0.4406774,0.7932096,0.9670206,3104,0.1323850211724144,0.4831115788578351,0.8041450311024454,0.9698232297533287
5,0.14617406,0.49227875,0.814461,0.9742518,3105,0.14315569845694562,0.5019509134973684,0.8071844012362249,0.9689682778629953
6,0.16586573,0.5132957,0.8318416,0.97152036,3106,0.15537421486211628,0.49898821599545595,0.8093963661765061,0.9693933620584628
7,0.16538309,0.48645884,0.8273408,0.97526604,3107,0.1716861817342049,0.48432929732383095,0.8137001830889546,0.9680712796300535
8,0.17354275,0.50433594,0.82939506,0.97176915,3108,0.1650010258681218,0.4917322398558075,0.8194298963756238,0.9648097096426809
9,0.15383847,0.46602023,0.8060787,0.9654225,3109,0.16793908152418038,0.4918252874599174,0.8209547225702094,0.9650324957729887
10,0.1830046,0.47382563,0.8321612,0.9687147,3110,0.18015559119960484,0.4951877952547644,0.822680963609824,0.9657750891694618
11,0.19675998,0.523043,0.8264764,0.9645965,3111,0.17934246172879387,0.5004960768255516,0.8247091814268255,0.966367001329134
12,0.1885309,0.4584025,0.8294227,0.9676644,3112,0.20147852775163058,0.4985055372262853,0.8282546109611999,0.9657669998524777
13,0.20871986,0.499956,0.8502038,0.97144884,3113,0.2067240234420353,0.4956737240101519,0.832075222577827,0.9649410099545619
14,0.19588809,0.45571584,0.8209021,0.9674456,3114,0.20227076276912706,0.4986073226848063,0.83591227408699,0.9638072504210151
15,0.20862369,0.48470157,0.8466587,0.9709813,3115,0.22455955029881033,0.5008170619167998,0.837297829067596,0.9653556881770929
16,0.23355989,0.46789038,0.84795415,0.97328466,3116,0.22429715668312983,0.5109572036622028,0.8419989803213158,0.9643378533648324
17,0.2263078,0.49433088,0.85785466,0.97166485,3117,0.22526587716762855,0.50882054377147,0.8433077792799137,0.9662844998566545
18,0.22897409,0.4641372,0.85436374,0.97078305,3118,0.2446622605651896,0.510279699378825,0.8457670007184327,0.9676589147277056
19,0.25138766,0.4704672,0.86751086,0.9752944,3119,0.25323030346433084,0.5008774801817077,0.8486118687099798,0.9689777810048061
20,0.2634467,0.46826094,0.8624747,0.97040826,3120,0.2570492494324045,0.5003286201183337,0.853345279341517,0.9677980578836926
21,0.25594974,0.4775747,0.85667706,0.96648175,3121,0.2699463982076138,0.48490487621704764,0.8561880928721514,0.9681210249876332
22,0.2895692,0.45023876,0.8731683,0.9727847,3122,0.28240306617891336,0.49491282977582945,0.8594694875580926,0.9685228109397827
23,0.26670665,0.43665612,0.8638695,0.9718333,3123,0.2684799568262048,0.5187412183665178,0.8619039790845854,0.9697315036969187
24,0.2692151,0.47962677,0.8691145,0.9732819,3124,0.2649264810477335,0.5084266048688851,0.8686708609234846,0.9663514195785363
25,0.2584753,0.4605729,0.86668485,0.9694111,3125,0.26283167966595916,0.5214197977890181,0.8724231074474226,0.9649361925956543
26,0.2675342,0.49537992,0.8640318,0.96433425,3126,0.25554516232515645,0.5138722776234006,0.8766907332459928,0.9624327500906954
27,0.27300543,0.55081266,0.87708217,0.96963257,3127,0.26989208355269717,0.5261465355806926,0.8764372669451115,0.9640927080159603
28,0.27087295,0.50606537,0.8722939,0.9676549,3128,0.2635008247324756,0.5407792243560056,0.8820514874817761,0.9608400140029281
29,0.2485982,0.5098773,0.8645012,0.9680012,3129,0.27036310316400597,0.5496152301960154,0.884193901944382,0.9608392089562892
