,Ca_pred,Cb_pred,Cc_pred,Qout_pred,index,Ca,Cb,Cc,Qout
0,0.11730996,0.43885434,0.8001285,0.96910644,3100,0.1314836084825237,0.45505809135692166,0.796581382934141,0.9734263112691582
1,0.12791234,0.44888967,0.8019301,0.9672128,3101,0.12200891684862239,0.4637733082948899,0.8000367355677966,0.9706084138175305
2,0.10360126,0.44688946,0.8023781,0.9684094,3102,0.13001959552372577,0.46842012668597033,0.8009814976178916,0.9705063867077569
3,0.11506717,0.45227647,0.7987414,0.9611485,3103,0.12378092880061892,0.4763417970272266,0.8033820739475883,0.9691207234352857
4,0.10767043,0.47334033,0.80656224,0.9731194,3104,0.1323850211724144,0.4831115788578351,0.8041450311024454,0.9698232297533287
5,0.12716155,0.49299347,0.81796235,0.9741553,3105,0.14315569845694562,0.5019509134973684,0.8071844012362249,0.9689682778629953
6,0.13896067,0.49829185,0.8204346,0.9748305,3106,0.15537421486211628,0.49898821599545595,0.8093963661765061,0.9693933620584628
7,0.1293582,0.48125273,0.82388234,0.9715178,3107,0.1716861817342049,0.48432929732383095,0.8137001830889546,0.9680712796300535
8,0.14645082,0.48590374,0.82080793,0.97038686,3108,0.1650010258681218,0.4917322398558075,0.8194298963756238,0.9648097096426809
9,0.14154339,0.47219193,0.81535006,0.9623754,3109,0.16793908152418038,0.4918252874599174,0.8209547225702094,0.9650324957729887
10,0.15656663,0.48086476,0.8274213,0.97650564,3110,0.18015559119960484,0.4951877952547644,0.822680963609824,0.9657750891694618
11,0.15967816,0.48908538,0.8225396,0.9814483,3111,0.17934246172879387,0.5004960768255516,0.8247091814268255,0.966367001329134
12,0.17916843,0.49090165,0.83443767,0.97057605,3112,0.20147852775163058,0.4985055372262853,0.8282546109611999,0.9657669998524777
13,0.1813063,0.49110955,0.8379741,0.9730977,3113,0.2067240234420353,0.4956737240101519,0.832075222577827,0.9649410099545619
14,0.18127751,0.48190868,0.8360195,0.9630507,3114,0.20227076276912706,0.4986073226848063,0.83591227408699,0.9638072504210151
15,0.17978837,0.47695792,0.8396498,0.96777904,3115,0.22455955029881033,0.5008170619167998,0.837297829067596,0.9653556881770929
16,0.20537049,0.49895328,0.85550034,0.9728248,3116,0.22429715668312983,0.5109572036622028,0.8419989803213158,0.9643378533648324
17,0.18853158,0.4929412,0.84966475,0.9726733,3117,0.22526587716762855,0.50882054377147,0.8433077792799137,0.9662844998566545
18,0.19984952,0.48623312,0.85330194,0.97269225,3118,0.2446622605651896,0.510279699378825,0.8457670007184327,0.9676589147277056
19,0.21195295,0.4892267,0.86372966,0.9729471,3119,0.25323030346433084,0.5008774801817077,0.8486118687099798,0.9689777810048061
20,0.2312342,0.49213868,0.8640067,0.97600436,3120,0.2570492494324045,0.5003286201183337,0.853345279341517,0.9677980578836926
21,0.23345333,0.49046683,0.8581799,0.96710706,3121,0.2699463982076138,0.48490487621704764,0.8561880928721514,0.9681210249876332
22,0.25199702,0.4721774,0.8722001,0.9763348,3122,0.28240306617891336,0.49491282977582945,0.8594694875580926,0.9685228109397827
23,0.24775952,0.47531313,0.86910456,0.9672781,3123,0.2684799568262048,0.5187412183665178,0.8619039790845854,0.9697315036969187
24,0.23774874,0.5052102,0.8754582,0.9668639,3124,0.2649264810477335,0.5084266048688851,0.8686708609234846,0.9663514195785363
25,0.24007472,0.49611223,0.8723279,0.9689492,3125,0.26283167966595916,0.5214197977890181,0.8724231074474226,0.9649361925956543
26,0.24752334,0.5063543,0.8685286,0.96607673,3126,0.25554516232515645,0.5138722776234006,0.8766907332459928,0.9624327500906954
27,0.24623951,0.525604,0.87265044,0.96611905,3127,0.26989208355269717,0.5261465355806926,0.8764372669451115,0.9640927080159603
28,0.25460106,0.5207604,0.8774216,0.96533346,3128,0.2635008247324756,0.5407792243560056,0.8820514874817761,0.9608400140029281
29,0.22982377,0.5366278,0.87768316,0.97228324,3129,0.27036310316400597,0.5496152301960154,0.884193901944382,0.9608392089562892
30,0.24750221,0.54601103,0.87758726,0.9673977,3130,0.26727921514657027,0.5497614863918912,0.8886905221392164,0.9584261591754348
31,0.25081626,0.53740036,0.88550156,0.96171,3131,0.2841003759487066,0.548259807550704,0.8902518102404656,0.9590567254777244
32,0.267157,0.5400308,0.88547856,0.96472955,3132,0.27848942728301734,0.5601188547883681,0.8928649028518794,0.9587380498182227
33,0.25955737,0.54047453,0.893475,0.97043633,3133,0.3113304666732196,0.5621803289635812,0.8933704865319351,0.9611828335501612
34,0.28415808,0.54587746,0.90464795,0.9752239,3134,0.33901612214319526,0.553948910694424,0.8957506074765794,0.9632837546902603
35,0.2969617,0.54654604,0.9063411,0.9764999,3135,0.3251539583016068,0.5544468434499734,0.9041773429421626,0.9591746231025808
36,0.28615817,0.5262784,0.9062727,0.9771272,3136,0.336933654253724,0.5615981371963561,0.9045150456881607,0.9620345318413837
37,0.31453854,0.5678416,0.91425246,0.9751973,3137,0.3279592260359559,0.5670354633412227,0.9096944342205469,0.9603512352815221
38,0.3105425,0.5564673,0.9121131,0.96833193,3138,0.34164667331556464,0.5543750607749401,0.9142925335778697,0.9588296824479302
39,0.31233528,0.5352889,0.9041785,0.9771255,3139,0.3487518501322026,0.5441219642777162,0.9179182342071761,0.9579923638814191
40,0.33106896,0.5510807,0.92257756,0.97938895,3140,0.3589887992145595,0.5565168444844782,0.9189477922580495,0.959308362917608
41,0.32877767,0.5384281,0.9133257,0.9656807,3141,0.36671013559728594,0.552349592833957,0.9215957127509057,0.959761148806572
42,0.34426042,0.5341882,0.9232479,0.9664197,3142,0.37635127608709124,0.5501146027700924,0.9258273071012797,0.9585088604699353
43,0.3639663,0.5461505,0.92665046,0.9680307,3143,0.3796397285005576,0.5674266147875612,0.9264382646705546,0.9608177635161212
44,0.33920345,0.5521283,0.9263771,0.9722184,3144,0.38929343307680336,0.5614640887753533,0.9273474466307562,0.9629695549292716
45,0.34929493,0.53885645,0.92800325,0.9664184,3145,0.389261638526147,0.5639746963754291,0.9293510421999049,0.9642082585503239
46,0.35541773,0.5523604,0.93104106,0.9707928,3146,0.3889030990045614,0.5666095234257489,0.9337290506665274,0.9630587172041942
47,0.35802764,0.548653,0.93257666,0.96614623,3147,0.39585658205354524,0.56361278319089,0.9387833384627395,0.9609437537137139
48,0.38001946,0.54273254,0.9432204,0.9676168,3148,0.3969866581720878,0.5659780900471606,0.9397762940637628,0.9622475613849791
49,0.3635327,0.5400865,0.94220394,0.9786668,3149,0.4011769464231558,0.5711660997965938,0.9416061720718012,0.9627323918803067
50,0.37844372,0.5459603,0.93903315,0.9693469,3150,0.41017100723207406,0.5706544348977787,0.9442547381975079,0.962474566250877
51,0.3927976,0.56147915,0.9512792,0.9643276,3151,0.4248439819154403,0.5806200795118349,0.9468274107823709,0.9625361720598368
52,0.38564727,0.5635109,0.95207024,0.9729291,3152,0.4407567915683264,0.590434090703999,0.9437553507707427,0.968943841043816
53,0.39801762,0.57134014,0.9543815,0.9720236,3153,0.436497402024624,0.588436356318051,0.9457878765836352,0.9708292509291071
54,0.4040986,0.57531047,0.9611161,0.9704964,3154,0.43352030240738965,0.5887416589707298,0.9491966933775119,0.970830987088227
55,0.3995029,0.5860194,0.9561519,0.97005904,3155,0.43887543148508107,0.5934187271421291,0.9493587067755743,0.9737780473716292
56,0.4157462,0.5755191,0.9620065,0.9672071,3156,0.45071119911446517,0.5849119491851013,0.9512022117895401,0.9751214466178056
57,0.42442074,0.5664901,0.9620801,0.9654906,3157,0.46120048694390914,0.5764567222992913,0.9566734668139865,0.9729665926504079
58,0.44567385,0.5643409,0.97173595,0.9689555,3158,0.45869197315676363,0.5762004377527536,0.9611352930412348,0.9716518550200247
59,0.43799323,0.5689181,0.97372735,0.96509993,3159,0.4501077133698407,0.5858610045646111,0.9660685640168745,0.9695556829474964
60,0.40583503,0.5692067,0.95386183,0.9707744,3160,0.4473033602108434,0.59758438994521,0.9670122228124983,0.9705596343108253
61,0.4179937,0.5874396,0.97430813,0.9700315,3161,0.44628001880284074,0.6052296476049033,0.968751969431116,0.9707987804062925
62,0.4259418,0.58603823,0.9683295,0.9717437,3162,0.4561718485775015,0.6103547531926607,0.9692566291108669,0.9722835835813097
63,0.43592492,0.5939172,0.9779898,0.96192324,3163,0.4493103182915232,0.6121761420153149,0.9718472081455057,0.9722985675820378
64,0.43193033,0.6021469,0.9808429,0.96983945,3164,0.4525375225210018,0.6167298861501465,0.9766695537442064,0.9698639976516187
65,0.43216583,0.5782666,0.9865834,0.99131584,3165,0.46694898840252314,0.6028331755655075,0.9800861651553889,0.9685995896786126
66,0.45054343,0.5870311,0.9762997,0.9690393,3166,0.45820806339597303,0.606142264706861,0.9811187992407201,0.9688903526962306
67,0.44496375,0.593637,0.9849107,0.966823,3167,0.47161911696060915,0.6045087362981698,0.981131432361644,0.9704141814555406
